City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,12.08,89,10,2.67,AU,1686093479
1,waitangi,-43.9535,-176.5597,11.57,91,100,0.89,NZ,1686093479
2,cabedelo,-6.9811,-34.8339,25.37,82,20,4.43,BR,1686093282
3,pizarro,4.9533,-77.366,26.72,83,100,2.43,CO,1686093282
4,grytviken,-54.2811,-36.5092,2.5,96,90,2.04,GS,1686093447
5,cromer,52.9312,1.2989,11.19,80,87,5.78,GB,1686093282
6,howard springs,-12.497,131.047,24.95,68,4,2.81,AU,1686093282
7,tiksi,71.6872,128.8694,3.0,88,56,2.16,RU,1686093479
8,utrik,11.2278,169.8474,27.53,83,83,9.29,MH,1686093480
9,kresttsy,58.2452,32.5165,10.93,93,92,1.91,RU,1686093072
10,saudarkrokur,65.7461,-19.6394,6.92,77,72,0.93,IS,1686093283
11,port-aux-francais,-49.35,70.2167,2.05,89,100,12.91,TF,1686093480
12,puerto natales,-51.7236,-72.4875,3.39,87,51,3.57,CL,1686093480
13,sirte,31.2089,16.5887,20.96,81,63,7.39,LY,1686093283
14,fort bragg,35.139,-79.006,29.34,42,0,4.63,US,1686093480
15,anadyr,64.75,177.4833,11.28,62,0,10.0,RU,1686093284
16,guerrero negro,27.9769,-114.0611,19.11,57,84,7.41,MX,1686093481
17,thompson,55.7435,-97.8558,21.09,88,100,3.09,CA,1686093481
18,albany,42.6001,-73.9662,17.51,75,55,0.89,US,1686093481
19,papatowai,-46.5619,169.4708,7.77,70,23,0.71,NZ,1686093481
20,hithadhoo,-0.6,73.0833,27.99,76,42,2.61,MV,1686093481
21,jamestown,42.097,-79.2353,19.73,53,75,3.6,US,1686093481
22,la sarre,48.8002,-79.1996,17.16,35,1,5.88,CA,1686093284
23,bredasdorp,-34.5322,20.0403,9.16,74,45,1.02,ZA,1686093482
24,kwolla,8.9333,9.2833,25.32,82,68,2.6,NG,1686093285
25,whitehorse,60.7161,-135.0538,15.57,66,75,4.63,CA,1686093482
26,east london,-33.0153,27.9116,16.3,32,0,2.83,ZA,1686093302
27,adamstown,-25.066,-130.1015,21.41,55,79,6.57,PN,1686093482
28,colonia,50.9333,6.95,19.41,60,0,1.54,DE,1686093281
29,murghob,38.1702,73.9667,3.52,76,99,1.63,TJ,1686093483
30,pfalzgrafenweiler,48.5167,8.5667,13.95,93,18,1.15,DE,1686092995
31,luanda,-8.8368,13.2343,20.76,91,80,2.94,AO,1686093481
32,hamilton,39.1834,-84.5333,28.02,42,100,4.12,US,1686093483
33,longyearbyen,78.2186,15.6401,3.91,65,20,5.14,SJ,1686093455
34,mejit,10.2753,170.8646,27.82,86,32,8.33,MH,1686093286
35,atafu village,-8.5421,-172.5159,27.97,77,64,4.35,TK,1686093484
36,isafjordur,66.0755,-23.124,3.02,93,20,0.0,IS,1686093484
37,san antonio de pale,-1.4014,5.6325,25.01,87,100,5.19,GQ,1686093484
38,lebyazh'ye,55.2689,66.4947,20.36,79,96,2.61,RU,1686093287
39,beyneu,45.3167,55.2,24.29,61,82,5.61,KZ,1686093287
40,invercargill,-46.4,168.35,5.29,76,40,1.41,NZ,1686093484
41,taoudenni,22.6783,-3.9836,34.27,15,0,3.4,ML,1686093287
42,iqaluit,63.7506,-68.5145,3.85,80,100,5.14,CA,1686093485
43,la ronge,55.1001,-105.2842,21.12,52,75,6.17,CA,1686093485
44,mildura,-34.2,142.15,17.26,89,80,6.61,AU,1686093284
45,tateyama,34.9833,139.8667,19.24,90,99,2.45,JP,1686093288
46,enewetak,11.3474,162.3373,28.16,78,93,6.94,MH,1686093485
47,saint-philippe,-21.3585,55.7679,21.77,82,36,4.14,RE,1686093288
48,polyarnyy,69.1989,33.4478,3.56,75,99,5.25,RU,1686093485
49,oak ridge,36.0104,-84.2696,29.62,45,0,1.54,US,1686093288
50,bojia,26.4672,111.9681,23.38,89,11,0.86,CN,1686093288
51,igarka,67.4667,86.5833,11.94,59,18,2.63,RU,1686093486
52,bethel,41.3712,-73.414,18.2,72,41,3.5,US,1686093486
53,haiku-pauwela,20.9219,-156.3051,28.01,65,40,8.23,US,1686093486
54,kingston,17.997,-76.7936,29.58,80,75,7.72,JM,1686093486
55,les avirons,-21.2418,55.3394,21.03,60,0,3.09,RE,1686093289
56,zhaogezhuang,39.7667,118.4,26.0,26,5,2.32,CN,1686093289
57,hotan,37.0997,79.9269,22.38,26,100,3.93,CN,1686093487
58,bogale,16.2833,95.4,26.06,83,91,2.48,MM,1686093290
59,kotel'nikovo,47.6317,43.1461,16.35,55,69,3.27,RU,1686093290
60,queenstown,-31.8976,26.8753,8.77,33,0,2.69,ZA,1686093290
61,amga,60.8953,131.9608,16.55,58,88,2.59,RU,1686093487
62,puerto ayora,-0.7393,-90.3518,25.31,94,71,2.24,EC,1686093487
63,hola,51.5377,23.1902,17.1,100,97,2.19,PL,1686093290
64,hawaiian paradise park,19.5933,-154.9731,27.73,77,75,5.14,US,1686093488
65,bilibino,68.0546,166.4372,13.24,48,88,0.58,RU,1686093488
66,luderitz,-26.6481,15.1594,11.77,93,4,5.85,NA,1686093488
67,mwinilunga,-11.7358,24.4293,15.01,55,59,1.95,ZM,1686093488
68,edinburgh of the seven seas,-37.0676,-12.3116,13.71,70,99,12.72,SH,1686093439
69,kharabali,47.4196,47.2568,16.35,56,30,4.04,RU,1686093291
70,mugia,43.1041,-9.2179,22.17,72,100,2.72,ES,1686093291
71,west island,-12.1568,96.8225,25.99,78,75,6.17,CC,1686093489
72,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,38,0,6.0,RU,1686093489
73,praia da vitoria,38.7333,-27.0667,17.14,94,75,13.23,PT,1686093489
74,kilindoni,-7.9139,39.6668,25.93,77,0,6.62,TZ,1686093292
75,belmonte,-15.8631,-38.8828,23.9,70,54,4.74,BR,1686093489
76,akureyri,65.6835,-18.0878,4.96,81,75,1.54,IS,1686093292
77,mount gambier,-37.8333,140.7667,13.83,95,100,4.43,AU,1686093490
78,myshkin,57.7897,38.4545,7.68,77,32,2.37,RU,1686093292
79,margaret river,-33.95,115.0667,12.2,66,96,7.55,AU,1686093490
80,port mathurin,-19.6833,63.4167,24.93,65,25,9.25,MU,1686093490
81,hermanus,-34.4187,19.2345,12.64,65,54,1.41,ZA,1686093490
82,sao joao da barra,-21.6403,-41.0511,20.05,78,2,3.8,BR,1686093293
83,nuku'alofa,-21.1333,-175.2,25.19,88,100,2.57,TO,1686093293
84,nabire,-3.3667,135.4833,24.43,92,100,1.41,ID,1686093293
85,summerland,49.5998,-119.6691,28.94,18,0,6.17,CA,1686093293
86,st. john's,47.5649,-52.7093,10.31,98,100,6.69,CA,1686093491
87,bom jesus,-9.0744,-44.3586,28.76,34,57,1.87,BR,1686093293
88,crane,31.3974,-102.3501,29.0,29,86,5.68,US,1686093491
89,happy valley-goose bay,53.3168,-60.3315,6.17,87,100,10.8,CA,1686093492
90,college,64.8569,-147.8028,26.16,24,40,2.06,US,1686093492
91,klyuchi,52.2667,79.1667,20.45,58,31,0.26,RU,1686093492
92,nouadhibou,20.931,-17.0347,21.99,88,0,3.6,MR,1686093294
93,san patricio,28.017,-97.5169,31.76,60,41,4.16,US,1686093492
94,jinchang,38.4953,102.1739,17.95,28,71,3.32,CN,1686093492
